sampling_location,duplicate_sample,sample_date,sample_time,weather_condition_dry_or_wet,top_sample_temperature_c,bottom_sample_temperature_c,site_actual_depth_ft,top_sample_depth_ft,bottom_sample_depth_ft,top_salinity_psu,bottom_salinity_psu,top_conductivity_s_m,bottom_conductivity_s_m,ctd_conductivity_temperature_depth_profiler_top_dissolved_oxygen_mg_l,ctd_conductivity_temperature_depth_profiler_bottom_dissolved_oxygen_mg_l,percentage_o2_saturation_top_sample,percentage_o2_saturation_bottom_sample,light_trans_transparency_top_sample,light_trans_transparency_bottom_sample,top_sigma_t_kg_m3,bottom_sigma_t_kg_m3,top_fluorometer_mg_m3,bottom_fluorometer_mg_m3,ctd_conductivity_temperature_depth_profiler_ph_top_sample,ctd_conductivity_temperature_depth_profiler_ph_bottom_sample,top_sample_photosysthetically_active_radiation_reference_400_700nm_light_ue_s,top_sample_par_ue_s_m2,bottom_sample_par_ue_s_ue_s_m2,oxidation_reduction_potential_mv_top_sample,oxidation_reduction_potential_mv_bottom_sample,current_speed_knot,current_direction_current_direction,wind_speed_mph,wind_direction_wind_direction,sea_state,winkler_method_top_dissolved_oxygen_mg_l,winkler_method_bottom_dissolved_oxygen_mg_l,secchi_depth_ft,top_ph,bottom_ph,top_total_coliform_cells_100_ml,top_bottom_coliform_cells_100_ml,fecal_coliform_top_sample_less_than_or_greater_than_result,fecal_coliform_bottom_sample_less_than_or_greater_than_result,top_fecal_coliform_bacteria_cells_100ml,bottom_fecal_coliform_bacteria_cells_100ml,enterococcus_top_sample_less_than_or_greater_than_result,enterococcus_bottom_sample_less_than_or_greater_than_result,top_enterococci_bacteria_cells_100ml,bottom_enterococci_bacteria_cells_100ml,top_nitrate_nitrite_mg_l,bottom_nitrate_nitrite_mg_l,top_ammonium_mg_l,bottom_ammonium_mg_l,top_ortho_phosphorus_mg_l,bottom_ortho_phosphorus_mg_l,top_total_kjeldhal_nitrogen_mg_l,bottom_total_kjeldhal_nitrogen_mg_l,top_silica_mg_l,bottom_silica_mg_l,total_phosphorus_mg_l,bottom_total_phosphorus_mg_l,top_total_suspended_solid_mg_l,bottom_total_suspended_solid_mg_l,top_active_chlorophyll_a_g_l,bottom_active_chlorophyll_a_g_l,chlorophyll_top_sample_field_u_l_ysi,chlorophyll_bottom_sample_field_u_l_ysi,top_total_organic_carbon_mg_l,top_dissolved_organic_carbon_mg_l,bottom_dissolved_organic_carbon_mg_l,top_dissolved_organic_carbon_ysi_mg_l,bottom_dissolved_organic_carbon_ysi_mg_l,top_sample_depth_ysi_ft,bottom_depth_ysi_ft,top_sample_salinity_ysi_psu,bottom_sample_salinity_ysi_psu,top_sample_temperature_ysi_c,bottom_sample_temperature_ysi_c,top_bacteria_per_c_c_1909,bottom_bacteria_per_c_c_1909,top_beam_attenuation_coefficient,bottom_beam_attenuation_coefficient,top_five_day_biochemical_oxygen_demand_mg_l,bottom_five_day_biochemical_oxygen_demand_mg_l,top_pcb_plate_count_thous_ml,bottom_pcb_plate_count_thous_ml,top_coliform_log_no_ml,bottom_coliform_log_no_ml,oakwood_bod_top_sample_mg_l,oakwood_bod_bottom_sample_mg_l,oakwood_total_suspended_solid_top_sample_mg_l,oakwood_total_suspended_solid_bottom_sample_mg_l,top_turbidity_nephelometric_turbidity_units,bottom_turbidity_ysi_nephelometric_turbidity_units,sampling_comment,long,lat,type
JA1,,2021-01-20T00:00:00.000,11:19 AM,D,,,30.00,,,,,,,,,,,,,,,,,,,,,,,,0.7,E,8.00,W,1,,,,8.50,,,,,,8,,E,,4,,0.18,,0.064,,0.033,,0.616,,0.109,,0.113,,55,,89.8,,54.29,,,2.32,,15.60,,,,25.08,,4.50,,,,,,,,,,,,,,,,2.62,,,-73.813,"40.643,",Provisional
J11,,2021-01-20T00:00:00.000,10:28 AM,D,,,24.00,,,,,,,,,,,,,,,,,,,,,,,,1.4,E,8.00,W,1,,,,8.09,,,,,,300,,,,112,,0.283,,0.05,,0.033,,0.445,,0.502,,0.053,,29,,43,,11.20,,,2.12,,11.83,,,,27.03,,4.76,,,,,,,,,,,,,,,,1.86,,,-73.93133,"40.58167,",Provisional
J12,,2021-01-20T00:00:00.000,11:09 AM,D,,,40.00,,,,,,,,,,,,,,,,,,,,,,,,0.7,E,8.00,W,1,,,,8.51,,,,,,4,,,,1,,0.126,,0.045,,0.033,,0.74,,0.132,,0.101,,30,,128,,54.03,,,2.24,,15.50,,,,25.44,,4.52,,,,,,,,,,,,,,,,2.29,,,-73.80633,"40.633,",Provisional
J8,D,2021-01-20T00:00:00.000,11:44 AM,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,4,,,,4,,0.132,,0.096,,0.057,,0.702,,0.097,,0.16,,60,,124,,,,,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.82083,"40.64533,",Provisional
J7,,2021-01-20T00:00:00.000,11:26 AM,D,,,32.00,,,,,,,,,,,,,,,,,,,,,,,,0.7,E,8.00,W,1,,,,8.50,,,,E,,140,,,,26,,0.159,,0.045,,0.033,,0.771,,0.082,,0.111,,28,,113,,51.95,,,2.53,,15.73,,,,25.48,,4.38,,,,,,,,,,,,,,,,2.67,,,-73.82083,"40.64533,",Provisional
K2,,2021-01-21T00:00:00.000,11:59 AM,D,,,29.00,,,,,,,,,,,,,,,,,,,,,,,,0.3,W,12.00,SW,1,,,,7.78,,,,E,,8,,,,7,,0.427,,0.272,,0.033,,0.641,,2.49,,0.11,,19,,3.82,,1.38,,,2.41,,9.36,,,,19.87,,10.86,,,,,,,,,,,,,,,,5.35,,"Depth is approximate, boat depth reader is malfunctioning",-74.153,"40.64117,",Provisional
N7,,2021-01-21T00:00:00.000,9:33 AM,D,,,45.00,,,,,,,,,,,,,,,,,,,,,,,,0.5,SW,12.00,SW,1,,,,7.82,,,,E,,36,,,,8,,0.329,,0.217,,0.033,,0.559,,2.22,,0.058,,21,,3.32,,1.67,,,2.53,,9.55,,,,17.66,,10.47,,,,,,,,,,,,,,,,5.97,,"Depth is approximate, boat depth reader is malfunctioning",-74.05383,"40.64383,",Provisional
N8,,2021-01-21T00:00:00.000,9:46 AM,D,,,90.00,,,,,,,,,,,,,,,,,,,,,,,,0.5,SW,12.00,SW,1,,,,7.80,,,,,,56,,,,16,,0.334,,0.148,,0.033,,0.96,,2.17,,0.244,,21,,3.43,,1.46,,,2.48,,9.57,,,,18.19,,10.41,,,,,,,,,,,,,,,,5.55,,"Depth is approximate, boat depth reader is malfunctioning",-74.0455,"40.60617,",Provisional
K6,,2021-01-21T00:00:00.000,10:17 AM,D,,,18.00,,,,,,,,,,,,,,,,,,,,,,,,0.2,SW,13.00,SW,1,,,,7.92,,,,,,4,,<,,1,,0.348,,0.133,,0.033,,0.548,,1.27,,0.193,,20,,3.61,,3.79,,,2.34,,10.04,,,,22.95,,10.36,,,,,,,,,,,,,,,,3.91,,"Depth is approximate, boat depth reader is malfunctioning",-74.10083,"40.51033,",Provisional
K3,D,2021-01-21T00:00:00.000,11:40 AM,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,44,,,,5,,0.55,,0.651,,0.059,,1.061,,2.99,,0.136,,33,,3.59,,,,,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,-74.19583,"40.6375,",Provisional
K1,,2021-01-21T00:00:00.000,12:14 PM,D,,,36.00,,,,,,,,,,,,,,,,,,,,,,,,0.5,NW,12.00,WSW,1,,,,7.84,,,,E,,20,,,,3,,0.278,,0.201,,0.033,,0.526,,1.67,,0.111,,41,,3.48,,1.88,,,2.13,,9.31,,,,21.70,,11.16,,,,,,,,,,,,,,,,6.17,,"Depth is approximate, boat depth reader is malfunctioning",-73.813,"40.643,",Provisional
K5A,,2021-01-21T00:00:00.000,10:45 AM,D,,,25.00,,,,,,,,,,,,,,,,,,,,,,,,0.4,W,11.00,SW,1,,,,7.84,,,,E,,10,,,,7,,0.472,,0.258,,0.033,,0.535,,2.19,,0.158,,17,,3.71,,3.37,,,2.34,,9.60,,,,20.97,,10.67,,,,,,,,,,,,,,,,3.62,,"Depth is approximate, boat depth reader is malfunctioning",-74.24583,"40.4845,",Provisional
K3,,2021-01-21T00:00:00.000,11:40 AM,D,,,41.00,,,,,,,,,,,,,,,,,,,,,,,,0.6,NE,11.00,SW,1,,,,7.74,,,,E,,68,,,,11,,0.557,,0.708,,0.059,,0.974,,2.65,,0.145,,19,,3.63,,1.27,,,2.71,,9.21,,,,18.47,,11.03,,,,,,,,,,,,,,,,4.32,,"Depth is approximate, boat depth reader is malfunctioning",-74.19583,"40.6375,",Provisional
N6,,2021-01-21T00:00:00.000,12:23 PM,D,,,57.00,,,,,,,,,,,,,,,,,,,,,,,,0.6,NE,12.00,WSW,1,,,,7.84,,,,E,,20,,,,6,,0.331,,0.244,,0.033,,0.577,,2.23,,0.085,,15,,3.05,,1.24,,,2.82,,9.70,,,,18.39,,10.55,,,,,,,,,,,,,,,,5.61,,"Depth is approximate, boat depth reader is malfunctioning",-74.05133,"40.66467,",Provisional
K4,,2021-01-21T00:00:00.000,11:16 AM,D,,,39.00,,,,,,,,,,,,,,,,,,,,,,,,0.6,NE,11.00,SW,1,,,,7.73,,,,E,,16,,,,6,,0.511,,0.418,,0.043,,0.678,,2.57,,0.172,,19,,3.77,,1.21,,,2.57,,9.23,,,,19.24,,10.93,,,,,,,,,,,,,,,,3.71,,"Depth is approximate, boat depth reader is malfunctioning",-74.21167,"40.567,",Provisional
K5,,2021-01-21T00:00:00.000,10:56 AM,D,,,36.00,,,,,,,,,,,,,,,,,,,,,,,,0.5,NE,11.00,SW,1,,,,7.76,,,,E,,4,,,,4,,0.473,,0.345,,0.034,,0.578,,2.21,,0.108,,10,,3.68,,2.06,,,2.33,,9.32,,,,20.43,,10.75,,,,,,,,,,,,,,,,3.61,,"Depth is approximate, boat depth reader is malfunctioning",-74.25883,"40.50883,",Provisional
N3B,,2021-01-26T00:00:00.000,10:27 AM,D,,,67.00,,,,,,,,,,,,,,,,,,,,,,,,0.4,S,8.00,ENE,1,,,,7.85,,,,,,88,,,,37,,0.346,,0.225,,0.033,,0.668,,2.62,,0.174,,10,,2.74,,3.82,,,2.74,,11.75,,,,15.00,,3.19,,,,,,,,,,,,,,,,10.01,,,-73.96533,"40.82083,",Provisional
E2,,2021-01-26T00:00:00.000,9:00 AM,D,,,59.00,,,,,,,,,,,,,,,,,,,,,,,,0.6,S,8.00,ENE,1,,,,7.93,,,,E,,32,,,,6,,0.22,,0.17,,0.036,,0.482,,1.24,,0.073,,11,,2.34,,5.88,,,2.06,,10.48,,,,24.01,,4.98,,,,,,,,,,,,,,,,6.19,,,-73.970300,"40.735700,",Provisional
E4,,2021-01-26T00:00:00.000,9:15 AM,D,,,79.00,,,,,,,,,,,,,,,,,,,,,,,,2.2,SW,9.00,ENE,1,,,,7.88,,,,,,18,,,,13,,0.286,,0.254,,0.052,,0.517,,1.11,,0.089,,13,,2.04,,9.75,,,2.05,,10.70,,,,23.61,,4.52,,,,,,,,,,,,,,,,6.42,,,-73.922,"40.7825,",Provisional
H3,,2021-01-26T00:00:00.000,9:34 AM,D,,,24.00,,,,,,,,,,,,,,,,,,,,,,,,0.5,N,5.00,ENE,1,,,,7.80,,,,,,84,,,,34,,0.395,,0.34,,0.046,,0.738,,2.73,,0.19,,17,,2.61,,2.88,,,2.69,,11.57,,,,13.94,,3.02,,,,,,,,,,,,,,,,13.47,,,-73.93383,"40.828,",Provisional
N1,,2021-01-26T00:00:00.000,10:04 AM,D,,,51.00,,,,,,,,,,,,,,,,,,,,,,,,0.4,S,8.00,ENE,1,,,,7.81,,,,,,151,,,,59,,0.4,,0.239,,0.033,,0.673,,3.36,,0.128,,12,,2.16,,2.34,,,2.92,,12.28,,,,10.90,,2.41,,,,,,,,,,,,,,,,14.41,,,-73.91617,"40.9145,",Provisional
N1,D,2021-01-26T00:00:00.000,10:04 AM,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,42,,0.402,,0.274,,0.033,,0.608,,3.42,,0.1,,20,,2.43,,,,,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.91617,"40.9145,",Provisional
N4,,2021-01-26T00:00:00.000,10:42 AM,D,,,29.00,,,,,,,,,,,,,,,,,,,,,,,,0.5,S,7.00,ENE,1,,,,7.86,,,,,,60,,,,16,,0.299,,0.238,,0.033,,0.532,,2.07,,0.118,,10,,2.52,,4.49,,,2.37,,11.25,,,,18.73,,3.91,,,,,,,,,,,,,,,,9.26,,,-74.005833,"40.7645,",Provisional
N5,,2021-01-26T00:00:00.000,10:58 AM,D,,,50.00,,,,,,,,,,,,,,,,,,,,,,,,0.5,S,7.00,ENE,1,,,,7.88,,,,,,39,,,,14,,0.275,,0.223,,0.033,,0.545,,1.8,,0.165,,6,,2.71,,6.40,,,2.19,,10.86,,,,22.15,,4.52,,,,,,,,,,,,,,,,5.66,,,-74.03,"40.7045,",Provisional
E13,,2021-01-27T00:00:00.000,11:54 AM,D,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,0.3,S,7.00,NW,1,,,,8.08,,,,,,3,,E,,10,,0.154,,0.087,,0.04,,0.662,,0.292,,0.153,,24,,13.8,,33.92,,,1.98,,11.89,,,,25.83,,3.46,,,,,,,,,,,,,,,,5.00,,,-73.84111,"40.80611,",Provisional
HR03,,2021-01-27T00:00:00.000,10:29 AM,D,,,19.00,,,,,,,,,,,,,,,,,,,,,,,,0.2,S,3.00,NW,1,,,,8.37,,,,,,320,,,,195,,0.019,,0.045,,0.033,,0.628,,0.078,,0.207,,50,,12.2,,57.08,,,2.02,,13.94,,,,25.32,,1.73,,,,,,,,,,,,,,,,6.39,,,-73.82087,"40.88087,",Provisional
E6,,2021-01-27T00:00:00.000,12:02 PM,D,,,27.00,,,,,,,,,,,,,,,,,,,,,,,,0.3,N,12.00,NW,1,,,,8.02,,,,,,11,,,,2,,0.261,,0.192,,0.049,,0.754,,0.587,,0.18,,13,,10.6,,23.53,,,2.11,,11.57,,,,24.73,,3.73,,,,,,,,,,,,,,,,5.36,,,-73.86083,"40.7855,",Provisional
E8,,2021-01-27T00:00:00.000,11:04 AM,D,,,65.00,,,,,,,,,,,,,,,,,,,,,,,,0.6,W,8.00,NW,1,,,,8.10,,,,,,10,,,,1,,0.103,,0.062,,0.033,,0.577,,0.176,,0.143,,12,,13.6,,33.00,,,1.94,,11.94,,,,26.16,,3.16,,,,,,,,,,,,,,,,4.11,,,-73.8205,"40.805,",Provisional
